id	en1	jp1	en2	jp2	level	similar
3209	tremulous	震えている、揺らいでいる	His voice was tremulous with nervousness.	彼の声は緊張で震えていました。	2	[3201,4271,4998,8534,5118]
3210	at issue	問題になっている、議論の的となっている	The issue at hand is very important.	現在検討中の問題は非常に重要です。	1	[4013,4579,10747,6429,3166]
3211	loud and clear	はっきりと、確かに、明確に	He stated his opinion loud and clear.	彼は私に、はっきりと確実に自分の意見を伝えました。	1	[1727,3828,1550,5994,2459]
3212	extortion	恐喝、脅迫による金品の強要	He was arrested for extortion.	彼は恐喝の罪で逮捕されました。	2	[5968,7315,5596,9892,7549]
3213	fortress	要塞、堅固な防御を持つ場所	The fortress was built to protect against enemies.	その要塞は敵から守るために建てられました。	2	[5214,5204,470,8172,7673]
3214	concomitant	伴う、同時に起こる	Taking the medication may have some concomitant side effects.	その薬を服用することで、いくつかの副作用が伴うことがあります。	2	[4852,2384,7112,10581,8761]
3215	black out	停電、一時的な失神	The house went completely dark due to a sudden blackout.	突然の停電で家の中が真っ暗になりました。	1	[9725,7536,5148,732,4902]
3216	diverge	分岐する、異なる方向に進む	His opinion diverges significantly from our thoughts.	彼の意見は、私たちの考えと大きく分岐しています。	2	[3984,2918,3991,185,7495]
3217	ship out	出荷する、発送する	We will ship out the customer orders promptly.	私たちは、顧客の注文をすぐに出荷します。	1	[2145,1631,4056,9827,9240]
3218	claimant	請求者、主張する人	The claimant won the lawsuit.	その訴訟で請求人が勝利しました。	2	[4219,4883,2885,4115,5191]
3219	gill	エラ（魚の呼吸器官）、水中での呼吸機能	Fish use their gills to breathe underwater.	魚は水中でエラを使って呼吸します。	2	[6430,8114,7046,496,7209]
3220	in vogue	流行している、人気のある	Denim jackets are in vogue this spring.	この春、デニムジャケットが流行しています。	1	[10829,1348,3918,105,900]
3221	ingest	摂取する、飲み込む	He ingested food to the limit.	彼は食べ物を限界まで摂取してしまった。	2	[8222,5950,554,8405,8132]
3222	stick up	突き出す、掲げる、支持する	He decided to stick up for his opinion on the issue.	彼はその問題に対して自分の意見を突き出しました。	1	[6548,6142,1550,3828,5994]
3223	constellation	星座、星の配置	He read a book about constellations and looked up at the night sky.	彼は星座についての本を読んで、夜空を見上げました。	2	[4636,6983,1881,48,8716]
3224	be qualified to	資格がある、適任である	He is qualified to do that job.	彼はその仕事をするのに十分な資格があります。	1	[1214,8897,3056,6648,507]
3225	heirloom	遺産、代々受け継がれるもの	This jewel is an heirloom that has been passed down through my family for generations.	この宝石は私の家族に何世代にもわたって受け継がれてきた遺産です。	2	[6079,881,3031,10754,537]
3226	doze	うとうとしている、軽く眠る	I often doze off while reading a book in the evening.	私は夕方に本を読んでいると、よくうとうとします。	2	[606,9017,10101,568,2129]
3227	on trial	試験中、審理中	He is on trial for the incident.	彼はその事件のために裁判で審理されています。	1	[8699,4545,4060,2961,4541]
3228	cuddle	抱きしめる、寄り添う	On a winter night, there's nothing better than to cuddle up together warmly.	冬の夜は、暖かくして一緒に寄り添うのが一番です。	2	[6356,9208,1490,3993,9228]
3229	enjoin	禁止する、命じる	The court enjoined the defendant from engaging in certain activities.	裁判所は、被告に特定の行為をしないよう命じた。	2	[5479,4883,7558,818,6994]
3230	amnesia	記憶喪失、特に過去の出来事を思い出せない状態	He suffered from amnesia after the accident.	彼は事故の後、短期的な記憶喪失に悩まされました。	2	[7233,4469,7974,4553,6198]
3231	capitalize on	利用する、利益を得る	She capitalized on the new idea to grow her business.	彼女は新しいアイデアを活用してビジネスを成長させた。	1	[6289,8734,8061,8323,3333]
3232	chum	友達、仲間	He is my close chum and a part of my special team.	彼は私の親友であり、特別なチームの仲間です。	2	[4196,3346,2092,5808,7162]
3233	be vulnerable to	脆弱である、影響を受けやすい	She realized she could be vulnerable to new environments.	彼女は新しい環境にいるとき、脆弱であることを自覚しました。	1	[10687,1841,8822,2872,4896]
3234	all in one	一つにすべてを含む、すべてが一体となった	He bought a handy device that is all in one.	彼は、すべての機能が揃った便利なデバイスを買いました。	1	[7390,4759,828,6364,7978]
3235	oftentimes	しばしば、たびたび	She oftentimes meets her friends at that cafe.	彼女はしばしばそのカフェで友達と会います。	2	[846,4681,5514,6069,728]
3236	promulgate	普及する、広める、公布する	The government plans to promulgate the new law.	政府は新しい法律を公布する予定です。	2	[4566,4919,3788,4309,5679]
3237	in a nutshell	要するに、手短に言うと	In a nutshell, we all need to work together.	要するに、私たちは全員が協力する必要があります。	1	[9494,3081,5917,4637,1358]
3238	glide	滑る、滑空する	She glided gracefully over the lake.	彼女は湖の上を優雅に滑空しました。	2	[3011,1897,5322,1397,4537]
3239	forget oneself	自分を見失う、無我夢中になる	She forgot herself and got carried away at the party.	彼女はパーティーで楽しみすぎて、自分を見失ってしまった。	1	[4546,9994,9764,6750,7400]
3240	confluence	合流、合致、融合	We had a picnic at the confluence of the two rivers.	二つの川の合流地点でピクニックをしました。	2	[2233,775,1122,1495,6495]
3241	scold A for B	叱る、非難する	She scolded her son for not doing his homework.	彼女は息子が宿題をしないことで叱った。	1	[7695,866,6935,7414,9788]
3242	in radius	半径の中に、範囲の中で	This circle fits within the radius.	この円は半径の中に収まっています。	1	[4943,4421,8289,3770,1196]
3243	smolder	くすぶる、静かに燃える	The wood continued to smolder even after the fire was out.	その木は火が消えた後でもくすぶり続けていた。	2	[4824,283,7592,8785,2154]
3244	rank and file	一般的なメンバー、平社員	He agreed with the opinion as a rank-and-file member of the organization.	彼は組織の一般的なメンバーとして、その意見に賛成しました。	1	[7102,5465,3828,1400,3222]
3245	infatuate	夢中にさせる、魅了する	He is completely infatuated with her.	彼は彼女に完全に夢中になっている。	2	[7395,6218,8077,3053,5800]
3246	venerate	崇拝する、敬う	He venerates the legendary leader deeply.	彼はその伝説的な指導者を深く崇拝しています。	2	[8171,5562,7350,6832,6365]
3247	operate on	手術する、操作する	He went to the hospital to operate on his abdomen.	彼はお腹の手術を受けるために病院に行きました。	1	[5025,4669,4869,1006,1284]
3248	under fire	批判や攻撃を受けている状態	The politician is under fire for his controversial policies.	その政治家は政策についての厳しい批判にさらされています。	1	[1886,3402,7668,215,6302]
3249	hereby	ここに、これによって、これによりして	I hereby declare that I waive my rights.	私は、ここに自分の権利を放棄することを宣言します。	2	[3471,2535,7218,1721,7878]
3250	extoll	称賛する、讃美する	He extolled the achievements with many words of praise.	彼はその功績を称賛する多くの言葉を述べました。	2	[3394,7042,8826,3686,2467]
3251	starve to death	餓死する、飢えで死ぬこと	Many people are starving to death due to the effects of war.	多くの人々が戦争の影響で餓死しています。	1	[3934,6835,8857,3659,3812]
3252	fiduciary	信託義務のある、受託者の（資産や利益を代わりに管理する立場にある人）	He has a fiduciary duty to manage his clients' assets.	彼は顧客の資産を管理する信託者としての責任があります。	2	[4001,10625,6373,6981,3945]
3253	trite	陳腐な、ありふれた	The plot of the movie was trite and lacked any surprises.	その映画のプロットは陳腐で、驚きがまったくありませんでした。	2	[3302,3446,3466,5241,8345]
3254	conjecture	推測、仮説	He made a conjecture based on the facts.	彼はその事実に基づいて自分の推測を立てました。	2	[5803,4370,8615,2381,6695]
3255	rectify	修正する、是正する	He rectified my mistake right away.	彼は私の誤りをすぐに修正してくれました。	2	[3791,5780,1416,5802,8928]
3256	annexation	併合、付加	The annexation of that country sparked significant international debate.	その国の併合は国際的に大きな議論を引き起こしました。	2	[7104,1835,5556,3823,7022]
3257	by default	デフォルトで、通常の設定	This software uses English by default.	このソフトウェアは、デフォルトで英語を使用します。	1	[5225,10157,4524,10946,4980]
3258	cramp	筋肉のけいれん、痙攣	I experienced a cramp in my leg while exercising.	運動中に足にけいれんが起こりました。	2	[1789,734,1168,3422,2206]
3259	heterogeneity	異質性、多様性	The study explores the impact of heterogeneity on the results.	その研究は、異質性が結果に与える影響を探求しています。	2	[10552,7201,10173,3285,4935]
3260	binge	過食、（一度に）大量に行うこと	It's sometimes fun to binge-watch movies with friends.	友達と一緒に映画を一気に観るのは、時に楽しい過ごし方です。	2	[831,2222,3699,6553,812]
3261	deity	神、神格化された存在	He participated in a ritual to worship ancient deities.	彼は古代の神々を崇拝する儀式に参加しました。	2	[7447,2826,4734,4529,4318]
3262	fissure	亀裂、割れ目	I saw a large fissure in the ground.	地面に大きな亀裂が入っているのを見ました。	2	[4925,10840,983,7745,8910]
3263	give way	道を譲る、通行を許す	He gave way to the car at the intersection.	彼は交差点で車に道を譲りました。	1	[1607,7309,1175,10292,1586]
3264	up-to-date	最新の、最新情報に基づいた	She always stays up-to-date with the latest news.	彼女は常に最新のニュースを把握しています。	2	[2344,1860,6100,7953,4681]
3265	ill at ease	不安な、不穏な気持ち	He always feels ill at ease when he is in front of an audience.	彼は人前に出るといつも不安な気持ちになります。	1	[6474,2755,6398,720,8055]
3266	wean	離乳する、徐々にやめさせる	Weaning a baby off breastfeeding is often more challenging than expected.	赤ちゃんを母乳から離乳させるのは、普段思ったよりも大変です。	2	[7765,10611,1230,7100,3030]
3267	shrivel	しわがれ、しぼむ	The plant shriveled up due to lack of water.	植物が水を失ってしおれてしまった。	2	[6038,5547,7820,4539,5182]
3268	glutton	大食家、食べ過ぎる人	He always looks like a glutton during meals.	彼は食事中にいつも大食家のように見えます。	2	[8851,8222,2650,6762,2843]
3269	for the purpose of	目的のために	We gathered for the purpose of discussing the new project.	私たちは新しいプロジェクトのために集まりました。	1	[4554,3657,5776,1923,8000]
3270	up to speed	最新情報を把握している、進捗が合っている	I need to get up to speed on the new project since I just joined the team.	新しいプロジェクトに参加したばかりなので、早く内容を把握する必要があります。	1	[6630,5649,3714,457,6578]
3271	dab	軽くたたくこと、または塗ること	She dabbed the bandage on the wound.	彼女は絆創膏を傷に軽く塗りました。	2	[6240,5416,2533,864,6943]
3272	heretic	異端者、一般的な信念や慣習に反する人	He is considered a heretic by that religion.	彼はその宗教の異端者と見なされています。	2	[5017,2712,4334,2972,4336]
3273	want for	欲しい、求める	She has a strong want for traveling.	彼女は旅行に行くことを強く望んでいます。	1	[889,9944,1880,3931,4216]
3274	hypnosis	催眠、意識が変化した状態	Hypnosis therapy can help reduce stress.	催眠療法はストレスを軽減するのに役立つことがあります。	2	[703,10240,431,7481,2610]
3275	fixate	固定する、強く集中する	He tended to fixate on the problem, ignoring everything else.	彼はその問題に執着してしまって、他のことに注意が向かなくなった。	2	[8758,3564,2876,3953,4688]
3276	inquire into	調査する、問い合わせる	He inquired into the cause of the accident by consulting experts.	彼は事故の原因を調査するために、専門家に問い合わせました。	1	[3300,1457,7839,8552,5938]
3277	derelict	放置された、無人の、見捨てられた人（特に無宿者）	He lives as a derelict in an abandoned building on the street.	彼は街の通りで放置された建物に住んでいる無宿者です。	2	[6985,3426,3477,2706,2804]
3278	acquiescence	黙認、黙従	He showed acquiescence to his boss's proposal.	彼は上司の提案に黙認の態度を示した。	2	[8203,4136,3401,3121,7476]
3279	none the less	それにもかかわらず、やはり	He decided to go for a run outside, none the less, despite the bad weather.	彼は天候が悪かったにもかかわらず、外で走ることに決めました。	1	[8930,26,1047,1619,3943]
3280	extrapolate	推測する、外挿する	The scientists extrapolate future results based on the current data.	科学者たちは、現在のデータを使って未来の結果を推測しています。	2	[4775,2381,1147,6221,5803]
3281	irrespective of	関係なく、無関係に	We plan to go on a picnic irrespective of the weather.	私たちは、天候に関係なくピクニックに行く予定です。	1	[8563,209,1804,598,1545]
3282	live through	体験する、乗り越える	He shared the story of his life as someone who lived through the war.	彼は戦争を乗り越えた人生を語った。	1	[8774,326,4235,4188,2619]
3283	fortitude	勇気、忍耐力	He maintained his fortitude in the face of adversity.	彼は困難な状況に直面しても忍耐力を持ち続けました。	2	[3589,4120,6162,3555,4018]
3284	sulk	むくれる、不機嫌になる	He looked sulky and didn't want to talk to anyone.	彼はちょっとむくれて、誰とも話したくないように見えた。	2	[6993,8877,6237,4976,6681]
3285	in conclusion	結論として、要約すると	In conclusion, the results of this study support our hypothesis.	この研究の結果は、私たちの仮説を支持しています。	1	[5719,7092,3631,6282,2236]
3286	dribble	ドリブルする、ボールを扱う技術	He dribbled the ball quickly during the soccer match.	彼はサッカーの試合中に素早くボールをドリブルしました。	2	[6086,3476,7540,3303,5734]
3287	out of the woods	危機から脱した、困難な状況を乗り越えた状態	We are finally out of the woods.	私たちはついに危機から脱しました。	1	[3691,7528,10449,7854,9956]
3288	elucidation	明瞭化、説明	The professor provided an elucidation to clarify the concept.	教授はその概念をより明確にするために説明を加えました。	2	[7217,6695,7971,10481,2113]
3289	buy up	買い占める、すべてを買うこと	He plans to buy up all the shares in the market.	彼は市場の株をすべて買い占めるつもりです。	1	[6778,4138,7010,4220,4351]
3290	foundry	鋳造所、金属を鋳造する工場	The foundry produces new parts every day.	その鋳造所では、毎日新しいパーツが作られています。	2	[1048,7055,677,8039,8328]
3291	snap out of	気分を切り替える、現実に戻る	He needs to snap out of that sad mood quickly.	彼はすぐにその悲しい気分から抜け出さなければなりません。	1	[10570,5821,2988,6764,6984]
3292	apparition	幻影、幽霊のような存在	He was startled by the apparition that appeared in the middle of the night.	彼は夜中に現れた幻影に驚きました。	2	[5160,8334,1828,5149,1383]
3293	in a breath	一息で、一瞬のうちに	He solved the problem in a breath.	彼は一息でその問題を解決しました。	1	[6362,2591,6499,3390,1609]
3294	annotate	注釈を付ける、解説する	He annotated the important sections of the book.	彼は本の重要な箇所に注釈を付けました。	2	[7561,3509,6397,7641,930]
3295	hook up	接続する、つなげる、または交際する（カジュアルな関係）	They recently hooked up casually.	彼らは最近、カジュアルに交際を始めました。	1	[2811,8342,6784,8657,8234]
3296	alloy	合金、異なる金属の組み合わせ	He mixed several metals to create a new alloy.	彼は新しい合金を作るために、いくつかの金属を混ぜました。	2	[4704,1858,198,5146,3582]
3297	baloney	馬鹿げたこと、無意味な話	Everything he says is pure baloney.	彼の言っていることはすべて馬鹿げたことだ。	2	[6773,4804,6960,7541,3452]
3298	acrimony	悪意、激しい不満	Their divorce was filled with acrimony.	彼らの離婚は acrimony に満ちていた。	2	[5202,10699,2223,8238,7020]
3299	leer	じろりと見る、いやらしい視線を向ける	He gave her a leering glance.	彼は彼女にいやらしい視線を送っていた。	2	[10591,790,2855,7030,7554]
3300	indemnity	補償、賠償	He sought indemnity for the damages resulting from the accident.	彼は事故による損害に対する補償を求めました。	2	[6834,2885,3276,7839,7284]
3301	top off	満たす、上に載せる	He topped off the glass with water.	彼はグラスの水をいっぱいにした。	1	[1264,5206,10420,7364,2514]
3302	hackneyed	ありふれた、陳腐な	The plot of the movie was so hackneyed that it offered nothing new.	その映画のストーリーはありふれていて、全く新しさがなかった。	2	[3253,3446,5241,3466,8345]
3303	out of bounds	境界を越えた、許可されていない場所や状況	The soccer ball went out of bounds.	そのサッカーのボールは境界を越えてしまった。	1	[6086,3286,3873,3476,7540]
3304	entrenched	根深い、固定化された	The issue has become entrenched in many organizations.	その問題は多くの組織において根深いものとなっています。	2	[8143,1022,3210,7857,9651]
3305	gubernatorial	州知事の、州の大統領の	He decided to run for the gubernatorial election.	彼は州知事選挙に出馬することを決めました。	2	[4705,8908,4843,3586,743]
3306	free up	解放する、空ける（時間やスペースなどを）	I decided to free up some time this weekend to spend with my family.	今週末の予定を調整して、家族との時間を空けることにしました。	1	[1502,9594,7754,5095,9775]
3307	pancreatic	膵臓の、膵臓に関連する	He is researching treatments for pancreatic diseases.	彼は膵臓の病気についての治療法を研究しています。	2	[2373,1228,4259,6350,6787]
3308	fretting	心配、悩むこと	She is fretting about tomorrow's exam.	彼女は明日の試験のことでずっと心配しています。	2	[6000,342,6874,9700,1324]
3309	trot out	持ち出す、披露する	He often trots out old excuses that annoy his friends.	彼はよく古い言い訳を持ち出しては、友人たちをイライラさせる。	1	[5330,4901,3876,2583,3109]
3310	prosaic	平凡な、ありふれた、退屈な	His prosaic story failed to enliven the conversation.	彼の退屈な話は、会話を盛り上げることができませんでした。	2	[3534,8231,3901,3466,5736]
3311	word for word	逐語的に、言葉通りに	He carried out her request word for word.	彼は彼女の要求を逐語的に実行しました。	1	[7803,4923,10002,7758,2779]
3312	kindred	親類、同類、共通の性質を持った人々	He seems to have a personality very similar to that of his kindred spirit.	彼は自分の親友と非常に似た性格を持っているように思える。	2	[10459,3590,3696,3404,5972]
3313	as A as ever	いつもと同じくらい（Aが他のAと同等であることを示す表現）	He performed as well as ever.	彼はいつも通り、驚くほど優れたパフォーマンスを見せました。	1	[1482,7478,3718,10521,7458]
3314	draw out	引き出す、明らかにする	He drew out a very interesting opinion.	彼は非常に興味深い意見を引き出しました。	1	[5465,1550,1727,4250,3222]
3315	apathetic	無関心な、無感動な	He remained apathetic, no matter what happened.	彼は何が起こっても無関心な様子を見せた。	2	[2803,3555,3944,2948,6162]
3316	hardly, before	ほとんど〜ない、〜の前に	We hardly left before he arrived.	彼が到着する前に、私たちはほとんど出発していませんでした。	1	[2927,6412,2925,2898,325]
3317	repentance	悔い、反省	He feels deep repentance for his past actions.	彼は過去の行いを後悔している。	2	[5030,5252,6979,3976,6980]
3318	pop in	立ち寄る、ちょっと訪れる	She decided to pop in at her friend's house.	彼女は友達の家にちょっと立ち寄った。	1	[2214,4606,5527,3814,223]
3319	rafter	屋根の梁、建物の支え	He chose sturdy rafters when building the house.	彼は家を建てるとき、しっかりとした梁を選びました。	2	[3889,6196,8086,5552,5042]
3320	back down on	撤回する、引き下がる	He backed down on his initial claim.	彼は最初の主張を撤回しました。	1	[2285,8644,7285,6044,8175]
3321	call down	呼び寄せる、命令する	He called down to her to come up.	彼は彼女を呼び寄せるように叫びました。	1	[4790,4879,1505,4868,8333]
3322	auspicious	幸運な、縁起の良い	His wedding is known to be quite an auspicious day.	彼の結婚式は、とても幸運な日として知られています。	2	[2702,246,5895,7207,833]
3323	lay down	横になる、寝る	I want to lay down for a bit, so I'm going to bed.	ちょっと横になりたいので、ベッドに行きます。	1	[999,8206,9799,606,1043]
3324	prerogative	特権、権利	It is her prerogative to make that decision.	彼女がその決定を下すのは彼女の特権です。	2	[1611,6768,10042,4224,2969]
3325	leeway	余裕、自由度	I have some leeway with the project deadline, which gives me time to think of better ideas.	プロジェクトの締切に少し余裕があるので、さらに良いアイデアを考える時間があります。	2	[450,10054,814,2057,9665]
3326	bestow A on B	授与する、与える	He bestowed the honor upon her.	彼はその栄誉を彼女に授与しました。	1	[8083,7042,8119,3686,6039]
3327	on the brink of	危機一髪、非常に危険な状況にあること	They are on the brink of the country entering into war.	彼らはその国が戦争に突入する危険な状態にある。	1	[81,6881,6631,8241,7527]
3328	the bottom line	結論、要点	The bottom line is that we should find a way to save time.	結局のところ、私たちは時間を節約する方法を見つけた方が良いです。	1	[3886,5782,3713,980,3543]
3329	primacy	優先、最重要性	His research is recognized as a matter of primacy in the field of education.	彼の研究は教育分野における優先課題として認識されています。	2	[2766,5395,2115,6436,3773]
3330	flippant	軽薄な、真剣さが欠けている	He has a flippant attitude towards serious issues.	彼は、重要な問題に対して軽薄な態度をとっている。	2	[3132,2890,2863,2682,7817]
3331	as a last resort	最後の手段として、最終的な選択	He tried it as a last resort when nothing else worked.	彼は何も効果がなかったので、最後の手段としてそれを試みました。	1	[8883,2868,5970,2297,4565]
3332	valor	勇気、勇敢さ	He was praised for his valor on the battlefield.	彼は戦場での勇気を称賛されました。	2	[169,7071,76,3394,7350]
3333	branch out	広がる、発展する	He decided to branch out and expand his activities into a new business.	彼は新しいビジネスに進出するために、活動を広げることを決めました。	1	[8734,8061,5609,410,2675]
3334	shroud	覆うもの、包む、隠すもの	Her death shrouded his heart in sorrow.	彼女の死が彼の心を悲しみで覆ってしまった。	2	[2244,5069,8587,3728,718]
3335	be consistent with	一致する、矛盾しない	The project's policies should be consistent with our values.	このプロジェクトの方針は、私たちの価値観と一致しているべきです。	1	[4595,3166,7292,6340,6117]
3336	take delight in	楽しむ、喜びを感じる	She takes delight in music.	彼女は音楽を楽しんでいます。	1	[8286,10729,6903,31,7345]
3337	nascent	初期の、発展途上の	His business is still in a nascent stage, but it holds great potential already.	彼のビジネスはまだ初期段階にありますが、すでに大きな可能性を秘めています。	2	[3522,6289,5483,5609,8061]
3338	put down	置く、降ろす、書き留める	He put down the book on the table in front of him.	彼は目の前のテーブルに本を置きました。	1	[318,3935,2063,5337,5085]
3339	frantic	必死な、狂乱した	She ran frantically to the station.	彼女は急いで駅に向かうために、必死に走っていました。	2	[8333,2348,2690,4262,9624]
3340	fall victim to	被害に遭う、犠牲になる	He fell victim to a scam.	彼は詐欺の被害に遭った。	1	[2889,3360,8898,3919,4862]
3341	vicarious	代理の、代わりの、他人の経験を通じて得られる	She enjoys vicarious adventures through the novels she reads.	彼女は小説を読むことで、間接的に冒険を楽しんでいます。	2	[3669,55,623,5677,1577]
3342	sit back	リラックスする、くつろぐこと	Please sit back and relax.	座ってリラックスしてください。	1	[2249,6774,533,268,1967]
3343	wind up	終わる、締めくくる、巻き上げる	He wound up by emphasizing the key points to conclude his talk.	彼は話を終わらせるために、重要なポイントを強調しました。	1	[2497,9260,2554,2955,8807]
3344	spatula	へら、料理道具	I used a spatula to flip the eggs while cooking.	料理する時に、へらを使って卵をひっくり返しました。	2	[2040,3883,2021,8354,1299]
3345	filial	子の、子に関する、子供の義務に関する	She has a strong sense of filial duty to her family.	彼女は家族に対する義務感をしっかりと持っています。	2	[5325,6079,6294,6822,1473]
3346	one and only	唯一の、ただ一つの	He is my one and only friend.	彼は私にとって唯一の友達です。	1	[2092,5808,9620,1276,3232]
3347	preemptive	先制的、事前の行動を取ること	He took preemptive measures before the problem escalated.	彼は問題が悪化する前に先制的な対策を講じました。	2	[5316,6224,1045,470,3137]
3348	trident	三叉の槍、三つの先端を持つ道具	Statues of ancient gods often hold a trident.	古代の神々の像は、しばしばトライデントを持っています。	2	[8951,7392,4529,3261,4282]
3349	in the suburbs of	郊外に、郊外の地域で	I am thinking about moving to a house in the suburbs of the city.	私は郊外の家に引っ越すことを考えています。	1	[4958,5854,1205,6821,3426]
3350	refrain from	差し控える	He chose to refrain from voicing his opinion during the meeting.	彼は会議中に意見を差し控えました。	1	[6142,3968,3413,590,2421]
3351	in obedience to	従うことによって、従って	He began working immediately in obedience to his supervisor's instructions.	彼は上司の指示に従って、すぐに仕事を始めました。	1	[5714,7492,975,3401,8473]
3352	solstice	至点、太陽の位置が最も高いまたは低い日	On the summer solstice, we celebrate the longest day of the year.	夏至の日、私たちは昼が最も長いことを祝います。	2	[315,6601,10636,8374,8739]
3353	profanity	冒涜的な言葉、汚い言葉	He used profanity in front of the children.	彼は不適切な言葉を使ってしまった。	2	[197,2915,6997,6893,841]
3354	pelvis	骨盤	The pelvis is an important part located at the center of the body.	骨盤は体の中心にある重要な部分です。	2	[2204,7312,4205,5376,867]
3355	sultry	蒸し暑い、湿気の多い	It was hard to sleep that night because of the sultry weather.	その晩、蒸し暑い天気のせいで寝苦しかった。	2	[4165,3051,473,4221,10461]
3356	satchel	鞄、特に肩に掛けるかばん	He took a satchel with him to school.	彼は学校に行くのにサッチェルを持って行きました。	2	[4081,8,4600,5085,5934]
3357	piecemeal	部分的に、少しずつ	The project is being done piecemeal and is not yet finished.	プロジェクトは部分的に進められていて、まだ完了していません。	2	[4230,2991,3127,4829,5845]
3358	insufferable	耐え難い、我慢できない	He has an insufferable level of arrogance.	彼は耐え難いほどの傲慢さを持っています。	2	[3423,4401,6028,4097,2770]
3359	come up with	～を思いつく	He came up with a great idea.	彼は素晴らしいアイデアを思いつきました。	1	[3432,1096,7036,8323,2017]
3360	fall prey to	犠牲になる、被害に遭う	Many people fall prey to scams.	多くの人が詐欺の犠牲になっています。	1	[3340,2889,8898,5065,2469]
3361	back away	後退する、退く	He backed away from the animal in fear.	彼は恐怖からその動物から後退しました。	1	[6587,7555,1046,5187,4706]
3362	impervious	影響を受けない、遮断する	She seemed impervious to criticism.	彼女は批判に対して全く影響を受けないように見えました。	2	[4723,5268,1574,2494,3555]
3363	extrovert	外向的な人、社交的な人	She is an extrovert and always the life of the party.	彼女はとても外向的な性格で、パーティーでは常に中心にいます。	2	[8099,909,7213,2047,10331]
3364	ravine	峡谷、深い谷	He stood at the bottom of the ravine, awestruck by its beauty.	彼は峡谷のふもとに立って、その美しさに息を呑んだ。	2	[651,4453,294,8779,6390]
3365	posterior	後部、後ろの部分	He injured his posterior in the accident.	彼は事故で後部を打ってしまいました。	2	[8339,432,8293,5548,7974]
3366	tempestuous	激しい、荒れた、乱れた感情を持つ	Her emotions were tempestuous, swirling like a fierce storm.	彼女の感情は、激しい嵐のように揺れ動いていました。	2	[7474,6582,6516,5634,4946]
3367	frugal	倹約的な、質素な	He is living a frugal lifestyle to save money for the future.	彼は倹約的な生活を送ることで、将来のために貯蓄を増やしています。	2	[2539,7560,4684,8439,8348]
3368	delirious	興奮状態の、妄想状態の	He was delirious with a fever.	彼は熱で苦しんでいるとき、妄想状態になっていました。	2	[3982,1284,2306,7864,3122]
3369	mirth	大喜び、楽しさ	Her humor filled everyone with mirth.	彼女のユーモアは皆を大きな大喜びにさせました。	2	[1188,4439,2477,4462,2304]
3370	prospectus	概要、計画書	He carefully examined the prospectus for the university's new program.	彼は大学の新しいプログラムについての概要を詳しく検討しました。	2	[5431,4983,8666,301,8845]
3371	isotope	同位体、原子核内の中性子の数が異なる原子の種類	Isotopes of water play an important role in scientific research and environmental studies.	水の同位体は、科学研究や環境調査において重要な役割を果たします。	2	[10236,3111,4080,6785,5799]
3372	painstaking	入念な、苦労を伴う	He did painstaking work to perfect the project.	彼はそのプロジェクトを完璧に仕上げるために、入念な作業を行いました。	2	[3447,5752,7520,4771,70]
3373	be bound up with	結びついている、密接に関連している	His success is bound up with his hard work.	彼の成功は、彼の努力と密接に関連している。	1	[5239,7452,8406,453,2623]
3374	payload	ペイロード、積載物（特にミサイルやロケットに搭載されるもの）	The missile is designed to carry a critical payload.	そのミサイルは重要なペイロードを運ぶために設計されています。	2	[5295,2386,5417,877,3169]
3375	ups and downs	浮き沈み、人生の波起こし	His life had many ups and downs, but he eventually achieved success.	彼の人生には多くの浮き沈みがあったが、最終的には成功を収めた。	1	[5797,274,5642,620,1025]
3376	shank	脛（すね）、特に肉の部位の一つ	The chef used pork shank in his special soup.	そのシェフは特製のスープに豚の脛肉を使いました。	2	[8091,2040,1185,8292,118]
3377	be impatient with	忍耐できない、せっかちである	He tends to be impatient with slow people.	彼はいつも遅い人に対して忍耐できなくなります。	1	[6651,8355,3595,3822,6130]
3378	bowl over	驚かせる、感動させる	I was completely bowled over by the special performance.	その特別なパフォーマンスに私は完全に感動させられました。	1	[3149,3718,6477,10622,4045]
3379	incubation	培養、発育期間	The incubation period for the influenza virus is about two days.	インフルエンザウイルスの潜伏期間は約2日です。	2	[10425,6051,2614,7472,6781]
3380	mockery	嘲笑、あざけり	He faced mockery from those around him for his inappropriate comments.	彼の不適切な発言に対して、彼は周囲の人々から嘲笑された。	2	[4508,6917,2517,2793,4858]
3381	down the road	将来的に、後に	There might be better opportunities down the road.	将来的には、もっと良い機会があるかもしれません。	1	[6862,4534,10115,10131,7610]
3382	in substance	実質的に、本質的に	He expressed his opposition in substance.	彼は実質的に反対派の意見を表明しました。	1	[7075,3425,3828,5994,1550]
3383	monoxide	一酸化炭素	Carbon monoxide is a very dangerous gas.	一酸化炭素は非常に危険なガスです。	2	[8370,6214,9991,2333,2345]
3384	paradigm	パラダイム、典型的な例、視点の枠組み	The new research could fundamentally change our paradigm.	新しい研究は、我々のパラダイムを根本的に変える可能性があります。	2	[1491,9863,10428,2518,10349]
3385	glance at	ちらりと見る、チラッと見る	He glanced at his watch and realized he was going to be late.	彼は時計にちらりと目をやると、遅刻しそうだと気づきました。	1	[4624,1089,10759,2925,8355]
3386	muffled	鈍い、こもった、聞こえにくい	The voices outside sounded muffled.	外での声が鈍って聞こえました。	2	[1800,4679,10750,4803,1328]
